"Time","upf=upf-1:loc=1:dnn=1:dscp0","upf=upf-2:loc=1:dnn=1:dscp0","upf=upf-3:loc=1:dnn=1:dscp0","upf=upf-4:loc=1:dnn=1:dscp0","upf=upf-1:loc=2:dnn=1:dscp0","upf=upf-2:loc=2:dnn=1:dscp0","upf=upf-3:loc=2:dnn=1:dscp0","upf=upf-4:loc=2:dnn=1:dscp0","upf=upf-1:loc=3:dnn=1:dscp0","upf=upf-2:loc=3:dnn=1:dscp0","upf=upf-3:loc=3:dnn=1:dscp0","upf=upf-4:loc=3:dnn=1:dscp0","upf=upf-1:loc=4:dnn=1:dscp0","upf=upf-2:loc=4:dnn=1:dscp0","upf=upf-3:loc=4:dnn=1:dscp0","upf=upf-4:loc=4:dnn=1:dscp0","upf=upf-1:loc=1:dnn=2:dscp0","upf=upf-2:loc=1:dnn=2:dscp0","upf=upf-3:loc=1:dnn=2:dscp0","upf=upf-4:loc=1:dnn=2:dscp0","upf=upf-1:loc=2:dnn=2:dscp0","upf=upf-2:loc=2:dnn=2:dscp0","upf=upf-3:loc=2:dnn=2:dscp0","upf=upf-4:loc=2:dnn=2:dscp0","upf=upf-1:loc=3:dnn=2:dscp0","upf=upf-2:loc=3:dnn=2:dscp0","upf=upf-3:loc=3:dnn=2:dscp0","upf=upf-4:loc=3:dnn=2:dscp0","upf=upf-1:loc=4:dnn=2:dscp0","upf=upf-2:loc=4:dnn=2:dscp0","upf=upf-3:loc=4:dnn=2:dscp0","upf=upf-4:loc=4:dnn=2:dscp0"
2026-08-20 19:59:20,0 p/s,0 p/s,0 p/s,0 p/s,33.4 p/s,0 p/s,0 p/s,8.90 kp/s,4.26 kp/s,4.63 kp/s,0 p/s,0 p/s,7.16 kp/s,1.70 kp/s,56.4 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,16.8 p/s,0 p/s,0 p/s,13.8 kp/s,12.3 kp/s,1.49 kp/s,0 p/s,0 p/s,1.16 kp/s,12.0 kp/s,802 p/s,0 p/s
2026-08-20 19:59:40,0 p/s,0 p/s,0 p/s,0 p/s,33.9 p/s,0 p/s,0 p/s,8.85 kp/s,4.25 kp/s,4.61 kp/s,0 p/s,0 p/s,7.13 kp/s,1.70 kp/s,56.1 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,17.1 p/s,0 p/s,0 p/s,14.1 kp/s,12.6 kp/s,1.52 kp/s,0 p/s,0 p/s,1.19 kp/s,12.3 kp/s,821 p/s,0 p/s
2026-08-20 20:00:00,0 p/s,0 p/s,0 p/s,0 p/s,34.3 p/s,0 p/s,0 p/s,8.92 kp/s,4.29 kp/s,4.66 kp/s,0 p/s,0 p/s,7.19 kp/s,1.71 kp/s,55.9 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,16.5 p/s,0 p/s,0 p/s,13.8 kp/s,12.3 kp/s,1.48 kp/s,0 p/s,0 p/s,1.16 kp/s,12.0 kp/s,803 p/s,0 p/s
2026-08-20 20:00:20,0 p/s,0 p/s,0 p/s,0 p/s,34.3 p/s,0 p/s,0 p/s,8.89 kp/s,4.27 kp/s,4.65 kp/s,0 p/s,0 p/s,7.17 kp/s,1.70 kp/s,56.3 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,16.6 p/s,0 p/s,0 p/s,14.0 kp/s,12.4 kp/s,1.50 kp/s,0 p/s,0 p/s,1.17 kp/s,12.1 kp/s,813 p/s,0 p/s
2026-08-20 20:00:40,0 p/s,0 p/s,0 p/s,0 p/s,33.9 p/s,0 p/s,0 p/s,8.86 kp/s,4.24 kp/s,4.62 kp/s,0 p/s,0 p/s,7.14 kp/s,1.70 kp/s,55.5 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,17 p/s,0 p/s,0 p/s,14.0 kp/s,12.5 kp/s,1.51 kp/s,0 p/s,0 p/s,1.18 kp/s,12.2 kp/s,815 p/s,0 p/s
2026-08-20 20:01:00,0 p/s,0 p/s,0 p/s,0 p/s,33.9 p/s,0 p/s,0 p/s,8.86 kp/s,4.25 kp/s,4.63 kp/s,0 p/s,0 p/s,7.13 kp/s,1.69 kp/s,55.6 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,16.8 p/s,0 p/s,0 p/s,14.0 kp/s,12.5 kp/s,1.51 kp/s,0 p/s,0 p/s,1.18 kp/s,12.2 kp/s,816 p/s,0 p/s
2026-08-20 20:01:20,0 p/s,0 p/s,0 p/s,0 p/s,33.5 p/s,0 p/s,0 p/s,8.86 kp/s,4.26 kp/s,4.62 kp/s,0 p/s,0 p/s,7.13 kp/s,1.69 kp/s,55.9 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,16.5 p/s,0 p/s,0 p/s,13.9 kp/s,12.4 kp/s,1.50 kp/s,0 p/s,0 p/s,1.17 kp/s,12.1 kp/s,810 p/s,0 p/s
2026-08-20 20:01:40,0 p/s,0 p/s,0 p/s,0 p/s,33.5 p/s,0 p/s,0 p/s,8.78 kp/s,4.21 kp/s,4.59 kp/s,0 p/s,0 p/s,7.07 kp/s,1.68 kp/s,55.3 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,17 p/s,0 p/s,0 p/s,14.0 kp/s,12.5 kp/s,1.51 kp/s,0 p/s,0 p/s,1.18 kp/s,12.1 kp/s,814 p/s,0 p/s
2026-08-20 20:02:00,0 p/s,0 p/s,0 p/s,0 p/s,33 p/s,0 p/s,0 p/s,8.80 kp/s,4.22 kp/s,4.59 kp/s,0 p/s,0 p/s,7.10 kp/s,1.68 kp/s,55.6 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,17.7 p/s,0 p/s,0 p/s,14.3 kp/s,12.8 kp/s,1.54 kp/s,0 p/s,0 p/s,1.21 kp/s,12.4 kp/s,834 p/s,0 p/s
2026-08-20 20:02:20,0 p/s,0 p/s,0 p/s,0 p/s,33.9 p/s,0 p/s,0 p/s,8.82 kp/s,4.25 kp/s,4.60 kp/s,0 p/s,0 p/s,7.10 kp/s,1.69 kp/s,55.4 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,17.2 p/s,0 p/s,0 p/s,14.3 kp/s,12.7 kp/s,1.54 kp/s,0 p/s,0 p/s,1.20 kp/s,12.4 kp/s,832 p/s,0 p/s
