"Time","upf=upf-1:loc=1:dnn=1:dscp0","upf=upf-2:loc=1:dnn=1:dscp0","upf=upf-3:loc=1:dnn=1:dscp0","upf=upf-4:loc=1:dnn=1:dscp0","upf=upf-1:loc=2:dnn=1:dscp0","upf=upf-2:loc=2:dnn=1:dscp0","upf=upf-3:loc=2:dnn=1:dscp0","upf=upf-4:loc=2:dnn=1:dscp0","upf=upf-1:loc=3:dnn=1:dscp0","upf=upf-2:loc=3:dnn=1:dscp0","upf=upf-3:loc=3:dnn=1:dscp0","upf=upf-4:loc=3:dnn=1:dscp0","upf=upf-1:loc=4:dnn=1:dscp0","upf=upf-2:loc=4:dnn=1:dscp0","upf=upf-3:loc=4:dnn=1:dscp0","upf=upf-4:loc=4:dnn=1:dscp0","upf=upf-1:loc=1:dnn=2:dscp0","upf=upf-2:loc=1:dnn=2:dscp0","upf=upf-3:loc=1:dnn=2:dscp0","upf=upf-4:loc=1:dnn=2:dscp0","upf=upf-1:loc=2:dnn=2:dscp0","upf=upf-2:loc=2:dnn=2:dscp0","upf=upf-3:loc=2:dnn=2:dscp0","upf=upf-4:loc=2:dnn=2:dscp0","upf=upf-1:loc=3:dnn=2:dscp0","upf=upf-2:loc=3:dnn=2:dscp0","upf=upf-3:loc=3:dnn=2:dscp0","upf=upf-4:loc=3:dnn=2:dscp0","upf=upf-1:loc=4:dnn=2:dscp0","upf=upf-2:loc=4:dnn=2:dscp0","upf=upf-3:loc=4:dnn=2:dscp0","upf=upf-4:loc=4:dnn=2:dscp0"
2026-08-20 18:04:00,0 p/s,0 p/s,0 p/s,0 p/s,65.2 p/s,0 p/s,0 p/s,11.2 kp/s,7.10 kp/s,4.23 kp/s,0 p/s,0 p/s,5.60 kp/s,2.17 kp/s,72.8 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,32.7 p/s,0 p/s,0 p/s,3.96 kp/s,12.2 kp/s,974 p/s,0 p/s,0 p/s,1.25 kp/s,3.55 kp/s,674 p/s,0 p/s
2026-08-20 18:04:20,0 p/s,0 p/s,0 p/s,0 p/s,65.1 p/s,0 p/s,0 p/s,11.3 kp/s,7.21 kp/s,4.26 kp/s,0 p/s,0 p/s,5.68 kp/s,2.21 kp/s,74.8 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,61.2 p/s,0 p/s,0 p/s,4.03 kp/s,12.3 kp/s,987 p/s,0 p/s,0 p/s,1.26 kp/s,3.57 kp/s,679 p/s,0 p/s
2026-08-20 18:04:40,0 p/s,0 p/s,0 p/s,0 p/s,65.5 p/s,0 p/s,0 p/s,11.3 kp/s,7.20 kp/s,4.22 kp/s,0 p/s,0 p/s,5.66 kp/s,2.19 kp/s,75.1 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,446 p/s,0 p/s,0 p/s,5.98 kp/s,12.9 kp/s,2.28 kp/s,0 p/s,0 p/s,1.34 kp/s,4.02 kp/s,1.90 kp/s,0 p/s
2026-08-20 18:05:00,0 p/s,0 p/s,0 p/s,0 p/s,64.7 p/s,0 p/s,0 p/s,11.0 kp/s,6.98 kp/s,4.17 kp/s,0 p/s,0 p/s,5.51 kp/s,2.14 kp/s,71.9 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,1.04 kp/s,0 p/s,0 p/s,9.41 kp/s,12.2 kp/s,6.29 kp/s,0 p/s,0 p/s,1.42 kp/s,3.99 kp/s,5.73 kp/s,0 p/s
2026-08-20 18:05:20,0 p/s,0 p/s,0 p/s,0 p/s,63.3 p/s,0 p/s,0 p/s,10.7 kp/s,6.82 kp/s,4.07 kp/s,0 p/s,0 p/s,5.36 kp/s,2.09 kp/s,69.9 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,1.54 kp/s,0 p/s,0 p/s,15.2 kp/s,10.5 kp/s,12.8 kp/s,0 p/s,0 p/s,1.47 kp/s,3.63 kp/s,11.9 kp/s,0 p/s
2026-08-20 18:05:40,0 p/s,0 p/s,0 p/s,0 p/s,63.2 p/s,0 p/s,0 p/s,10.6 kp/s,6.67 kp/s,4.06 kp/s,0 p/s,0 p/s,5.30 kp/s,2.06 kp/s,67.5 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,1.67 kp/s,0 p/s,0 p/s,17.9 kp/s,10.1 kp/s,15.7 kp/s,0 p/s,0 p/s,1.51 kp/s,3.54 kp/s,15.0 kp/s,0 p/s
2026-08-20 18:06:00,0 p/s,0 p/s,0 p/s,0 p/s,62.8 p/s,0 p/s,0 p/s,10.5 kp/s,6.57 kp/s,4.04 kp/s,0 p/s,0 p/s,5.22 kp/s,2.04 kp/s,67.1 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,1.87 kp/s,0 p/s,0 p/s,20.5 kp/s,9.83 kp/s,18.3 kp/s,0 p/s,0 p/s,1.61 kp/s,3.60 kp/s,17.5 kp/s,0 p/s
2026-08-20 18:06:20,0 p/s,0 p/s,0 p/s,0 p/s,61.3 p/s,0 p/s,0 p/s,10.4 kp/s,6.56 kp/s,3.99 kp/s,0 p/s,0 p/s,5.19 kp/s,2.03 kp/s,65.9 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,2.05 kp/s,0 p/s,0 p/s,22.5 kp/s,9.51 kp/s,20.8 kp/s,0 p/s,0 p/s,1.93 kp/s,3.72 kp/s,19.8 kp/s,0 p/s
2026-08-20 18:06:40,0 p/s,0 p/s,0 p/s,0 p/s,62 p/s,0 p/s,0 p/s,10.4 kp/s,6.57 kp/s,4.01 kp/s,0 p/s,0 p/s,5.22 kp/s,2.03 kp/s,66.7 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,2.06 kp/s,0 p/s,0 p/s,22.6 kp/s,9.58 kp/s,20.9 kp/s,0 p/s,0 p/s,1.95 kp/s,3.75 kp/s,19.9 kp/s,0 p/s
2026-08-20 18:07:00,0 p/s,0 p/s,0 p/s,0 p/s,61.3 p/s,0 p/s,0 p/s,10.2 kp/s,6.43 kp/s,3.96 kp/s,0 p/s,0 p/s,5.12 kp/s,2.00 kp/s,64.5 p/s,0 p/s,0 p/s,0 p/s,0 p/s,0 p/s,2.07 kp/s,0 p/s,0 p/s,22.7 kp/s,9.63 kp/s,21.0 kp/s,0 p/s,0 p/s,1.95 kp/s,3.76 kp/s,20.0 kp/s,0 p/s
