"Time","UL N3 upf-1","UL N3 upf-2","UL N3 upf-3","UL N3 upf-4","DL N3 upf-1","DL N3 upf-2","DL N3 upf-3","DL N3 upf-4"
2026-08-20 20:07:30,25.1 kp/s,20.0 kp/s,874 p/s,22.9 kp/s,27.2 kp/s,11.3 kp/s,759 p/s,15.7 kp/s
2026-08-20 20:07:45,25.8 kp/s,20.6 kp/s,1.01 kp/s,23.5 kp/s,28.3 kp/s,11.9 kp/s,1.01 kp/s,16.5 kp/s
2026-08-20 20:08:00,26.4 kp/s,21.4 kp/s,2.07 kp/s,23.5 kp/s,30.7 kp/s,15.3 kp/s,3.21 kp/s,18.4 kp/s
2026-08-20 20:08:15,26.8 kp/s,22.2 kp/s,3.19 kp/s,23.2 kp/s,32.8 kp/s,18.9 kp/s,5.53 kp/s,19.9 kp/s
2026-08-20 20:08:30,27.8 kp/s,23.4 kp/s,4.08 kp/s,23.8 kp/s,35.5 kp/s,22.5 kp/s,7.34 kp/s,22.2 kp/s
2026-08-20 20:08:45,27.6 kp/s,23.8 kp/s,4.74 kp/s,23.6 kp/s,36.4 kp/s,25.0 kp/s,8.73 kp/s,23.7 kp/s
2026-08-20 20:09:00,28.3 kp/s,24.6 kp/s,5.34 kp/s,23.9 kp/s,38.3 kp/s,27.7 kp/s,9.97 kp/s,25.3 kp/s
2026-08-20 20:09:15,29.1 kp/s,25.7 kp/s,6.05 kp/s,24.6 kp/s,40.3 kp/s,30.6 kp/s,11.4 kp/s,27.3 kp/s
2026-08-20 20:09:30,29.8 kp/s,26.5 kp/s,6.44 kp/s,24.9 kp/s,42.0 kp/s,32.4 kp/s,12.2 kp/s,28.3 kp/s
2026-08-20 20:09:45,29.6 kp/s,26.2 kp/s,6.38 kp/s,24.6 kp/s,41.7 kp/s,32.1 kp/s,12.1 kp/s,28.0 kp/s
2026-08-20 20:10:00,29.7 kp/s,26.3 kp/s,6.39 kp/s,24.7 kp/s,41.8 kp/s,32.2 kp/s,12.1 kp/s,28.1 kp/s
2026-08-20 20:10:15,29.5 kp/s,26.1 kp/s,6.33 kp/s,24.5 kp/s,41.5 kp/s,32.0 kp/s,12.0 kp/s,27.9 kp/s
2026-08-20 20:10:30,29.8 kp/s,26.4 kp/s,6.42 kp/s,24.7 kp/s,42.0 kp/s,32.3 kp/s,12.2 kp/s,28.2 kp/s
2026-08-20 20:10:45,29.6 kp/s,26.2 kp/s,6.36 kp/s,24.6 kp/s,41.7 kp/s,32.1 kp/s,12.1 kp/s,28.0 kp/s
2026-08-20 20:11:00,29.6 kp/s,26.2 kp/s,6.37 kp/s,24.6 kp/s,41.7 kp/s,32.1 kp/s,12.1 kp/s,28.0 kp/s
2026-08-20 20:11:15,29.5 kp/s,26.1 kp/s,6.35 kp/s,24.5 kp/s,41.6 kp/s,32.0 kp/s,12.0 kp/s,28.0 kp/s
2026-08-20 20:11:30,29.8 kp/s,26.4 kp/s,6.44 kp/s,24.7 kp/s,42.0 kp/s,32.4 kp/s,12.2 kp/s,28.2 kp/s
2026-08-20 20:11:45,29.7 kp/s,26.4 kp/s,6.42 kp/s,24.7 kp/s,41.9 kp/s,32.3 kp/s,12.2 kp/s,28.2 kp/s
2026-08-20 20:12:00,29.8 kp/s,26.5 kp/s,6.43 kp/s,24.8 kp/s,42.0 kp/s,32.4 kp/s,12.2 kp/s,28.2 kp/s
